[2026-07-22T08:56:47.756Z] GET https://ehf.org/ → 301 (281ms, ?B)
[2026-07-22T08:56:48.037Z] GET https://www.ehf.org/ → 200 (246ms, 55966B)
[2026-07-22T08:56:48.350Z] GET https://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-aa199afcf7c87a38-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-3d5633214421b6ee-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-a5cfdec1ae227f33-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-553be5b17e9a9bde-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-02f58ecdd59f8b83-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/common-vendors-c09d014622f01c24-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/common-d3f2f580dc63c247-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://assets.squarespace.com/universal/scripts-compressed/performance-c436d3d7ea735f9a-min.en-US.js → pending (?ms, ?B)
[2026-07-22T08:56:48.364Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/20c9376f-b50d-42a8-b306-6a66df1e3ded_556/website.components.socialLinks.styles.css → 200 (28ms, 2096B)
[2026-07-22T08:56:48.364Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/802b1fc6-3ad1-45bd-86fc-4095b08fa0f5_1101/website.components.spacer.styles.css → 200 (30ms, 318B)
[2026-07-22T08:56:48.364Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/website.components.imageFluid.styles.css → 200 (29ms, 771B)
[2026-07-22T08:56:48.364Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/69c9ad54-fc30-43cd-8a9f-c2c8ba7c09af_778/website.components.html.styles.css → 200 (29ms, 328B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/917b0131-f4bb-4a5e-b76e-f982d9190bcf_948/website.components.button.styles.css → 200 (28ms, 514B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/2513.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/9882.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-liquid.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/8458.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-refracted-lines.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/917b0131-f4bb-4a5e-b76e-f982d9190bcf_948/website.components.button.visitor.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/69c9ad54-fc30-43cd-8a9f-c2c8ba7c09af_778/website.components.html.visitor.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.socialLinks/20c9376f-b50d-42a8-b306-6a66df1e3ded_556/website.components.socialLinks.visitor.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-refracted-circles.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/website.components.imageFluid.shared.constants.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-parallax.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/802b1fc6-3ad1-45bd-86fc-4095b08fa0f5_1101/website.components.spacer.visitor.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/6644.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/8018.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/website.components.imageFluid.visitor.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-film-grain.js → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://static1.squarespace.com/static/versioned-site-css/5f3874da9e73700975a00b12/426/5c5a519771c10ba3470d8101/5f3874da9e73700975a00b34/1810/site.css?nocustom=true → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1784658820989-T86EF34M4QVPBBCSSFUN/static.css → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://static1.squarespace.com/static/custom-css/5f3874da9e73700975a00b12/5f3874da9e73700975a00b34/0/custom.css → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js → 200 (27ms, 33660B)
